Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
MIR31		ALX1			MIR31
ENSG00000277577		PI4KB			ENSG00000277577
CLEC7A		TULP3			CLEC7A
MIR125B1		NRP1			MIR125B1
PAH		WFS1			PAH
HLA-DQB2		PTH			HLA-DQB2
VCP		APAF1			VCP
MAPK8		AHSG			MAPK8
IL4R		GM2A			IL4R
LMNB1		RGS9			LMNB1
BMPR2		PRKRA			BMPR2
GAL		NKX2-2			GAL
GZMB		JARID2			GZMB
MAPK10		BMP6			MAPK10
HSPA1A		ATP6V1B1			HSPA1A
CHGA		SMARCD3			CHGA
HSPG2		ROR2			HSPG2
STX11		KLK6			STX11
TGIF1		SMARCC2			TGIF1
STAT5A		CHST11			STAT5A
LDLR		MNX1			LDLR
EPO		ARSA			EPO
ERCC6		SERP1			ERCC6
BMP4		NME1			BMP4
C8B		HIP1			C8B
NBN		ADH5			NBN
TBP		SMARCB1			TBP
NTNG2		SIAH1			NTNG2
MIAT		HOXA13			MIAT
MIR130A		PDE5A			MIR130A
LEPR		ANXA2			LEPR
C9orf72		EPHA2			C9orf72
ITGA2B		IGF1			ITGA2B
HSPA4		COL1A2			HSPA4
DLL1		GREM1			DLL1
CRB1		RAB3A			CRB1
GNRHR		LIMK1			GNRHR
RETN		SMARCC1			RETN
VIP		ROBO2			VIP
PCNA		SMARCA2			PCNA
CYP1A2		TIPARP			CYP1A2
ERBB3		HDAC7			ERBB3
NOTCH3		CCDC88A			NOTCH3
MT-CO1		FGFR1			MT-CO1
CFP		NUMB			CFP
MICB		MEF2C			MICB
TOP1		MBNL1			TOP1
BGLAP		DLX2			BGLAP
POLR1C		COL3A1			POLR1C
LZTR1		ACHE			LZTR1
DNM1		NOTCH4			DNM1
GNRH1		AGPAT1			GNRH1
PGR-AS1		TWIST1			PGR-AS1
NLRP12		SUFU			NLRP12
U2AF1		DPYSL2			U2AF1
XDH		OSM			XDH
FLT3		SGPL1			FLT3
CYCS		NDE1			CYCS
MIR140		IFT88			MIR140
SH2B3		RELN			SH2B3
MIR30E		TP53			MIR30E
ATXN2		NMUR2			ATXN2
EGF		COL2A1			EGF
C8A		APLP1			C8A
SCN10A		L1CAM			SCN10A
RELA		TCF21			RELA
DDC		SP3			DDC
GSTT1		EGR2			GSTT1
ATP7B		NOTCH2			ATP7B
MFSD8		CHRM1			MFSD8
KEAP1		NEFL			KEAP1
MIR181A1		SERPINE2			MIR181A1
RPS27A		VLDLR			RPS27A
GUSB		PTHLH			GUSB
MIR27A		SIX1			MIR27A
HSPA1B		JAK2			HSPA1B
RAD51		SP1			RAD51
MIR34C		IGF2			MIR34C
XRCC1		WNT7B			XRCC1
TGFB3		FRS2			TGFB3
IL2RG		PCSK5			IL2RG
IL3RA		KALRN			IL3RA
TNFRSF11A		SPAST			TNFRSF11A
CD14		GAS1			CD14
DOCK8		EYA1			DOCK8
RC3H1		SLC1A2			RC3H1
MAOA		BGLAP			MAOA
HARS1		GLRB			HARS1
ADRB2		PLEKHA1			ADRB2
TNNT2		SYTL2			TNNT2
CDH2		BMPR1B			CDH2
AIF1		EXT1			AIF1
NT5E		GNAQ			NT5E
CDKN3		SLC27A1			CDKN3
ITGA2		HEXB			ITGA2
INSR		KAT2A			INSR
IL6-AS1		CSGALNACT1			IL6-AS1
MIR122		CHRM2			MIR122
CDK5		NGF			CDK5
F9		NKX2-5			F9
SCN9A		PTK2			SCN9A
MAPK14		WNT11			MAPK14
IKBKB		PCSK6			IKBKB
CASP1		SMAD3			CASP1
FHL1		PPT1			FHL1
OPRM1		ROBO1			OPRM1
TACR3		RTN4			TACR3
STAT6		HES1			STAT6
FYN		ADAM10			FYN
MIR18A		BCL2L11			MIR18A
DNMT3B		CNTF			DNMT3B
ENO2		FGF9			ENO2
SLC22A4		WNT7A			SLC22A4
TLR1		CLN8			TLR1
JAK3		PTPRF			JAK3
HSPA8		PARD3			HSPA8
LINC00426		PDPN			LINC00426
GATA1		FGF1			GATA1
PTH1R		FOS			PTH1R
RMRP		AGER			RMRP
LYST		MNAT1			LYST
G6PD		NGFR			G6PD
MIR22		FOXC2			MIR22
FMR1		ACVR2A			FMR1
MT-CYB		RBP4			MT-CYB
TNFRSF8		BCL2			TNFRSF8
AP4B1		ERBB3			AP4B1
MKI67		DISC1			MKI67
MIR379		IHH			MIR379
NGFR		ACVR2B			NGFR
CYP2E1		ATXN3			CYP2E1
AHI1		TSC1			AHI1
MSH5		PRKCA			MSH5
LINC02384		EIF2AK3			LINC02384
NPC2		PRKN			NPC2
VIM		ERBB4			VIM
HLA-DRB4		ACVR1B			HLA-DRB4
IL3		FGF2			IL3
AGTR2		FOXC1			AGTR2
XK		OXTR			XK
PLCG2		MYC			PLCG2
TRA-TGC7-1		PTEN			TRA-TGC7-1
TRA-TGC5-1		SKI			TRA-TGC5-1
CYP2C9		LIG4			CYP2C9
TPP2		SMO			TPP2
DAG1		SHH			DAG1
LIF		BMP7			LIF
AQP4		FAS			AQP4
PROS1		NRG1			PROS1
AHR		BMPR1A			AHR
CD81		SMARCA4			CD81
TPI1		ATP7A			TPI1
PRKAR1A		OXT			PRKAR1A
AARS1		PAFAH1B1			AARS1
HNRNPA2B1		SLIT2			HNRNPA2B1
MIR15A		GLI2			MIR15A
NLGN3		MEN1			NLGN3
GSR		AKT1			GSR
KCNH2		GLI3			KCNH2
RAC2		SOD1			RAC2
TG		BMP2			TG
ABCC2		CDK5			ABCC2
PIK3C2A		EP300			PIK3C2A
CAMP		SLC11A2			CAMP
GGT1		WNT5A			GGT1
OPTN		SNCA			OPTN
PRKACA		TGFB2			PRKACA
SKIC2		P2RX7			SKIC2
RPS26		PSEN1			RPS26
CASR		TGFB1			CASR
CRKL		CTNNB1			CRKL
SEPSECS		BMP4			SEPSECS
NCAM1					NCAM1
HTR2A					HTR2A
TUBB					TUBB
ACVRL1					ACVRL1
TCF4					TCF4
TSPO					TSPO
MIR29C					MIR29C
TP63					TP63
ADD1					ADD1
C6					C6
BCL2L1					BCL2L1
MYH9					MYH9
IGFBP3					IGFBP3
PWAR1					PWAR1
MIR106A					MIR106A
IGHG2					IGHG2
AQP1					AQP1
CXCR2					CXCR2
HP					HP
MIR124-1					MIR124-1
ACAN					ACAN
EIF2AK2					EIF2AK2
DYRK1A					DYRK1A
MIR133B					MIR133B
RAB27A					RAB27A
NOTCH4					NOTCH4
FSHR					FSHR
PDHX					PDHX
AMH					AMH
PSMB9					PSMB9
XIAP					XIAP
CYP11A1					CYP11A1
DHFR					DHFR
ITGA4					ITGA4
GRIN2A					GRIN2A
TIRAP					TIRAP
CCR3					CCR3
EMSLR					EMSLR
PCSK9					PCSK9
MIR183					MIR183
DPP4					DPP4
SHOC2					SHOC2
PRKDC					PRKDC
GRB2					GRB2
PRKCB					PRKCB
AKT3					AKT3
MT-ND5					MT-ND5
ABCC6					ABCC6
MITF					MITF
ERG					ERG
SLC11A1					SLC11A1
PECAM1					PECAM1
CISH					CISH
SCO2					SCO2
GP1BA					GP1BA
GLI3					GLI3
CTSA					CTSA
PDPN					PDPN
KIR3DL1					KIR3DL1
SLC17A5					SLC17A5
LOC126805994					LOC126805994
LEMD3					LEMD3
GNB5					GNB5
MIR92A1					MIR92A1
SYP					SYP
IL17RA					IL17RA
POU5F1					POU5F1
SERPINF2					SERPINF2
F10					F10
ITGB4					ITGB4
SLC29A3					SLC29A3
DSG3					DSG3
HLA-DMB					HLA-DMB
LIMK1					LIMK1
TNFSF15					TNFSF15
RAB11FIP5					RAB11FIP5
ACP1					ACP1
THPO					THPO
AGRN					AGRN
COL7A1					COL7A1
SNORD15A					SNORD15A
IKZF3					IKZF3
ADRB1					ADRB1
IGKC					IGKC
KMT2A					KMT2A
CXCR2P1					CXCR2P1
AMPD2					AMPD2
EFEMP2					EFEMP2
CFHR1					CFHR1
LTB					LTB
RERE					RERE
XRCC4					XRCC4
ITPR3					ITPR3
MIR199A1					MIR199A1
MAF					MAF
CD2					CD2
TNFRSF6B					TNFRSF6B
F2RL1					F2RL1
MIR23B					MIR23B
TAPBP					TAPBP
NFKBIL1					NFKBIL1
CYP27B1					CYP27B1
TERC					TERC
TYROBP					TYROBP
MTRR					MTRR
BCL2L11					BCL2L11
MIR205					MIR205
DST					DST
TRPC6					TRPC6
NPHS1					NPHS1
MIRLET7A1					MIRLET7A1
MIR493HG					MIR493HG
ENSG00000276919					ENSG00000276919
MPL					MPL
STK11					STK11
DAXX					DAXX
OXT					OXT
POLR3B					POLR3B
ABCC1					ABCC1
TCF3					TCF3
CD226					CD226
RPL5					RPL5
ALAD					ALAD
TUG1					TUG1
MASP1					MASP1
SFTPD					SFTPD
IGHMBP2					IGHMBP2
COMP					COMP
ANG					ANG
BBS12					BBS12
FANCE					FANCE
FBXW7					FBXW7
MIRLET7D					MIRLET7D
PPP2CA					PPP2CA
ALOX5					ALOX5
HTR3A					HTR3A
MUSK					MUSK
DNM1L					DNM1L
MIR144					MIR144
REL					REL
COL5A1					COL5A1
MBD4					MBD4
FOXF1					FOXF1
ATP12A					ATP12A
CHRNG					CHRNG
MIR181A2					MIR181A2
HSPB1					HSPB1
TSEN54					TSEN54
TRAF3					TRAF3
SOX11					SOX11
TEK					TEK
MIR224					MIR224
COL11A2					COL11A2
PTHLH					PTHLH
TET3					TET3
HLA-DRB3					HLA-DRB3
CHRM3					CHRM3
MSX1					MSX1
THBS1					THBS1
ATXN1					ATXN1
CARD9					CARD9
NFKB2					NFKB2
IRAK4					IRAK4
STUB1					STUB1
TYRO3					TYRO3
CD24					CD24
GTF2IRD1					GTF2IRD1
GABBR1					GABBR1
PTGS1					PTGS1
MIR24-1					MIR24-1
NOTCH2					NOTCH2
STAT5B					STAT5B
MIR186					MIR186
CDH23					CDH23
MIR16-1					MIR16-1
RXRA					RXRA
GPT					GPT
ARG1					ARG1
ADGRG1					ADGRG1
RPS10					RPS10
EIF2B4					EIF2B4
CASP9					CASP9
DGUOK					DGUOK
HIP1					HIP1
CSNK2B					CSNK2B
PDYN					PDYN
MT-TK					MT-TK
EZR					EZR
MIR101-1					MIR101-1
MUC1					MUC1
CLEC16A					CLEC16A
MFGE8					MFGE8
KIF5A					KIF5A
SMO					SMO
RPS20					RPS20
TYMS					TYMS
HSD3B2					HSD3B2
CCAT1					CCAT1
HDAC1					HDAC1
FGB					FGB
FBN2					FBN2
TNFRSF18					TNFRSF18
TRADD					TRADD
PTK2					PTK2
PCAT1					PCAT1
CRYAA					CRYAA
GLS					GLS
HADHA					HADHA
STAR					STAR
BCHE					BCHE
MIR193A					MIR193A
APBB1					APBB1
CDK1					CDK1
PRLR					PRLR
F11					F11
GCG					GCG
NAMPT					NAMPT
EMD					EMD
CYP2U1					CYP2U1
STAT2					STAT2
SEMA6B					SEMA6B
TRAF2					TRAF2
PROP1					PROP1
GAS1					GAS1
KAT6B					KAT6B
SHBG					SHBG
PLEC					PLEC
MAP3K7					MAP3K7
AFP					AFP
IL24					IL24
MBD2					MBD2
HNF1A					HNF1A
MIR29B1					MIR29B1
PTK2B					PTK2B
PARK7					PARK7
TMEM94					TMEM94
MS4A1					MS4A1
CNTNAP2					CNTNAP2
PPBP					PPBP
ATG7					ATG7
MB					MB
COL17A1					COL17A1
ABCA4					ABCA4
ZEB1					ZEB1
CD163					CD163
MAGT1					MAGT1
EFNA2					EFNA2
TRPM4					TRPM4
TRE-TTC3-1					TRE-TTC3-1
MIR30B					MIR30B
EPHB2					EPHB2
PTPN2					PTPN2
PTGER4					PTGER4
DHCR7					DHCR7
MIR409					MIR409
PTH					PTH
IGHE					IGHE
FLG					FLG
POLR3A					POLR3A
KANSL1					KANSL1
EIF2AK3					EIF2AK3
MIR151A					MIR151A
DEFB4A					DEFB4A
NLRC4					NLRC4
UCP2					UCP2
PON3					PON3
CFHR3					CFHR3
PRKCA					PRKCA
RNASEL					RNASEL
PTPN6					PTPN6
FCN1					FCN1
MAP2					MAP2
KISS1R					KISS1R
CALB1					CALB1
NFATC2					NFATC2
LOC117038795					LOC117038795
MC1R					MC1R
SEMA7A					SEMA7A
LSM11					LSM11
DLEU2					DLEU2
COL18A1					COL18A1
HLA-DOA					HLA-DOA
PBX1					PBX1
SPI1					SPI1
BAK1					BAK1
IFNGR2					IFNGR2
CGA					CGA
ERAP1					ERAP1
CDK2					CDK2
TIMP2					TIMP2
ASPA					ASPA
BACH2					BACH2
HLA-E					HLA-E
KRT1					KRT1
VEGFC					VEGFC
E2F1					E2F1
PAX5					PAX5
ACADVL					ACADVL
EVL					EVL
CCL21					CCL21
NR1H4					NR1H4
LAT					LAT
PTTG1					PTTG1
ADRB3					ADRB3
UROD					UROD
MIRLET7G					MIRLET7G
SLIT2					SLIT2
QDPR					QDPR
LRP2					LRP2
VARS2					VARS2
MIR203A					MIR203A
PRKG1					PRKG1
SUMO1					SUMO1
PGR					PGR
DSG1					DSG1
FIP1L1					FIP1L1
PTGDS					PTGDS
LGALS1					LGALS1
ARF1					ARF1
KLC2					KLC2
SOCS2					SOCS2
IL36RN					IL36RN
IGFBP2					IGFBP2
FBL					FBL
BRD4					BRD4
NEB					NEB
ITK					ITK
IGH					IGH
ITPR1					ITPR1
IGHM					IGHM
F2R					F2R
NKX2-2					NKX2-2
CAMK2G					CAMK2G
AMPH					AMPH
USH2A					USH2A
PDCD1LG2					PDCD1LG2
H3C14					H3C14
IL18BP					IL18BP
SAA1					SAA1
MICU1					MICU1
CDKN2C					CDKN2C
DCLRE1C					DCLRE1C
MIR192					MIR192
BANCR					BANCR
IL36A					IL36A
GPX4					GPX4
COL5A2					COL5A2
NUP133					NUP133
UNC93B1					UNC93B1
RYR2					RYR2
MIR199B					MIR199B
PLCG1					PLCG1
PRKAR1B					PRKAR1B
HDAC6					HDAC6
STIM1					STIM1
SERPINB2					SERPINB2
CYP2A6					CYP2A6
LINC02694					LINC02694
CAST					CAST
AKT2					AKT2
CA2					CA2
CFLAR					CFLAR
ENSG00000275307					ENSG00000275307
ENSG00000276965					ENSG00000276965
COG6					COG6
NR1H3					NR1H3
CD1D					CD1D
NUP107					NUP107
WNT3					WNT3
TSBP1					TSBP1
MIR152					MIR152
NPM1					NPM1
HSPA5					HSPA5
MIR27B					MIR27B
UCA1					UCA1
RPL11					RPL11
COG2					COG2
GATA2					GATA2
MIR590					MIR590
GRIA2					GRIA2
CYP24A1					CYP24A1
NIN					NIN
PROC					PROC
DKK1					DKK1
POLB					POLB
DPYSL5					DPYSL5
SMAD6					SMAD6
IAPP					IAPP
MIR26B					MIR26B
TP53BP1					TP53BP1
DKC1					DKC1
DPF2					DPF2
KIR2DS2					KIR2DS2
GAD1					GAD1
CLEC4D					CLEC4D
SEMA4A					SEMA4A
KDM4C					KDM4C
IL18R1					IL18R1
FAS-AS1					FAS-AS1
COLEC11					COLEC11
UBC					UBC
SP1					SP1
AHSG					AHSG
MIR326					MIR326
LMAN1					LMAN1
KIR2DS1					KIR2DS1
EIF4G1					EIF4G1
EHMT2					EHMT2
PTN					PTN
LRP1					LRP1
NRIP1					NRIP1
NR0B1					NR0B1
SLC19A1					SLC19A1
ITPA					ITPA
RORC					RORC
ZNF423					ZNF423
NCR3					NCR3
EIF4H					EIF4H
PRRC2A					PRRC2A
SELENON					SELENON
MIR501					MIR501
ETV6					ETV6
RAI1					RAI1
TCOF1					TCOF1
VARS1					VARS1
ZFP57					ZFP57
RNU7-1					RNU7-1
IL11					IL11
CXCL11					CXCL11
MEG8					MEG8
CRBN					CRBN
PON2					PON2
NR5A1					NR5A1
NAA10					NAA10
MIRLET7I					MIRLET7I
CDK6					CDK6
IL27					IL27
TACR1					TACR1
HSPA1L					HSPA1L
MAP3K14					MAP3K14
LGALS9					LGALS9
MIR19B1					MIR19B1
LAMP1					LAMP1
TRB					TRB
ASS1					ASS1
PLA2G7					PLA2G7
CARD11					CARD11
TSHR					TSHR
P2RY12					P2RY12
MLN					MLN
GRB10					GRB10
MIR125B2					MIR125B2
CNBP					CNBP
HFE-AS1					HFE-AS1
PRDX5					PRDX5
ANGPT1					ANGPT1
SEMA4D					SEMA4D
ELF1					ELF1
KISS1					KISS1
NPHS2					NPHS2
SIAE					SIAE
APAF1					APAF1
MIR215					MIR215
ERCC3					ERCC3
TBXT					TBXT
SCT					SCT
MIR196A1					MIR196A1
RARB					RARB
HLA-F					HLA-F
TRIP11					TRIP11
WNT4					WNT4
RECK					RECK
RPA1					RPA1
BAG6					BAG6
PSORS1C1					PSORS1C1
MPIG6B					MPIG6B
TBL1XR1					TBL1XR1
VKORC1					VKORC1
CENPA					CENPA
PLA2G2A					PLA2G2A
HYCC1					HYCC1
MIR499A					MIR499A
SOCS6					SOCS6
DYSF					DYSF
RAD50					RAD50
CSNK2A1					CSNK2A1
MDC1					MDC1
PVALB					PVALB
RPS19					RPS19
MIR3936HG					MIR3936HG
RXRB					RXRB
EFNA5					EFNA5
MAN2B1					MAN2B1
MECOM					MECOM
ENTPD1					ENTPD1
DDAH2					DDAH2
PPARD					PPARD
TRAPPC11					TRAPPC11
RARRES2					RARRES2
USP7					USP7
OGG1					OGG1
APOC3					APOC3
AP3B1					AP3B1
FTL					FTL
XRCC3					XRCC3
SLC26A4					SLC26A4
HLA-DOB					HLA-DOB
KIR2DL3					KIR2DL3
ADSL					ADSL
ADARB1					ADARB1
GSX2					GSX2
RFX1					RFX1
LOC110806262					LOC110806262
PMEL					PMEL
SOX3					SOX3
SLC12A5					SLC12A5
HINT1					HINT1
ARID5B					ARID5B
KIR2DL1					KIR2DL1
COL6A3					COL6A3
LONP1					LONP1
LAMP2					LAMP2
AFF1					AFF1
BRD2					BRD2
GFRA1					GFRA1
ACADS					ACADS
FCGR2C					FCGR2C
IL12RB2					IL12RB2
RCN2					RCN2
SKI					SKI
TIA1					TIA1
LAMA3					LAMA3
ANXA6					ANXA6
BPI					BPI
MIR26A1					MIR26A1
CNTN1					CNTN1
IER3					IER3
ATP1A1					ATP1A1
KLRC1					KLRC1
DDX39B					DDX39B
NMNAT2					NMNAT2
GABRA1					GABRA1
NFATC1					NFATC1
PDE5A					PDE5A
RASGRP4					RASGRP4
SLC39A8					SLC39A8
SNRPB2					SNRPB2
SETD1A					SETD1A
SKP2					SKP2
IL36G					IL36G
BIRC5					BIRC5
APLNR					APLNR
KIR2DS5					KIR2DS5
FEN1					FEN1
RDX					RDX
EFNB2					EFNB2
DDX6					DDX6
KIR2DL2					KIR2DL2
EYS					EYS
KCNV2					KCNV2
BIN1					BIN1
EOMES					EOMES
PEX5					PEX5
ALDH2					ALDH2
LHX3					LHX3
IL15RA					IL15RA
ERCC5					ERCC5
SLC12A1					SLC12A1
AUTS2					AUTS2
CD68					CD68
CFHR4					CFHR4
RAPSN					RAPSN
HCP5					HCP5
PELI1					PELI1
KLF2					KLF2
PAPPA					PAPPA
HDAC9					HDAC9
LAMC1					LAMC1
IFNAR2					IFNAR2
SYNGAP1-AS1					SYNGAP1-AS1
CHRNA3					CHRNA3
CD47					CD47
PCAT2					PCAT2
CYTOR					CYTOR
KIR2DS4					KIR2DS4
LMNB2					LMNB2
IRGM					IRGM
CCND2					CCND2
NCSTN					NCSTN
LEPQTL1					LEPQTL1
ITLN1					ITLN1
LMOD1					LMOD1
FH					FH
FLNC-AS1					FLNC-AS1
SLC1A7					SLC1A7
MIR211					MIR211
DLK1					DLK1
GALNS					GALNS
WNT5A					WNT5A
SCGB1A1					SCGB1A1
MIRLET7F1					MIRLET7F1
ATP6V1G2					ATP6V1G2
LST1					LST1
VTRNA1-1					VTRNA1-1
POU4F1					POU4F1
LEMD2					LEMD2
CRHR1					CRHR1
CYP7B1					CYP7B1
CCL22					CCL22
EGR1					EGR1
F13A1					F13A1
SLC1A4					SLC1A4
LEF1					LEF1
KCNJ1					KCNJ1
RREB1					RREB1
YWHAB					YWHAB
SMAD1					SMAD1
IKBKE					IKBKE
SUOX					SUOX
JUP					JUP
DDR1					DDR1
OASL					OASL
MT-TL1					MT-TL1
PLXND1					PLXND1
NUP85					NUP85
USH1G					USH1G
SEMA5A					SEMA5A
CBLB					CBLB
DDIT3					DDIT3
HNRNPDL					HNRNPDL
TGM2					TGM2
RFC2					RFC2
OSM					OSM
DANCR					DANCR
SPINK5					SPINK5
TREM1					TREM1
POLR1HASP					POLR1HASP
CSMD1					CSMD1
PDE4A					PDE4A
RPS17					RPS17
GPSM3					GPSM3
TRP-AGG2-5					TRP-AGG2-5
TRP-AGG2-6					TRP-AGG2-6
CORO1A					CORO1A
TRP-AGG2-1					TRP-AGG2-1
TRP-AGG2-2					TRP-AGG2-2
TRP-AGG2-3					TRP-AGG2-3
TRP-AGG2-4					TRP-AGG2-4
TRP-AGG2-7					TRP-AGG2-7
TRP-AGG2-8					TRP-AGG2-8
NTNG1					NTNG1
SLC40A1					SLC40A1
ATG16L1					ATG16L1
HSP90B1					HSP90B1
CNTN6					CNTN6
TCN2					TCN2
THY1					THY1
OXA1L					OXA1L
PDHB					PDHB
LGI1					LGI1
TOR1A					TOR1A
RING1					RING1
GSK3B					GSK3B
FHL2					FHL2
MLPH					MLPH
VPS11					VPS11
MAP1LC3B					MAP1LC3B
RAB23					RAB23
DEK					DEK
RTEL1					RTEL1
COL25A1					COL25A1
CCL18					CCL18
CDSN					CDSN
MIR301A					MIR301A
C4BPA					C4BPA
TRIM39					TRIM39
CCL3L1					CCL3L1
CCR9					CCR9
NAGA					NAGA
ITGA8					ITGA8
GPANK1					GPANK1
CFL1					CFL1
DHX16					DHX16
CCAR1					CCAR1
HCFC1					HCFC1
UBE4B					UBE4B
HMGCR					HMGCR
FLVCR1					FLVCR1
HDAC2					HDAC2
MED13L					MED13L
TRV-AAC1-1					TRV-AAC1-1
TRV-AAC1-3					TRV-AAC1-3
BSG					BSG
HOTAIRM1					HOTAIRM1
CLIC1					CLIC1
CHRNA1					CHRNA1
TRV-AAC1-4					TRV-AAC1-4
CAPN1					CAPN1
TRV-AAC1-2					TRV-AAC1-2
TRV-AAC1-5					TRV-AAC1-5
COL6A2					COL6A2
RIPK2					RIPK2
PDE2A					PDE2A
IGK					IGK
TRC-GCA24-1					TRC-GCA24-1
RNU6-1					RNU6-1
KDM6B					KDM6B
MDGA2					MDGA2
MUC16					MUC16
AHCY					AHCY
IL1RL1					IL1RL1
C9					C9
DUSP22					DUSP22
FOXP1					FOXP1
MIR485					MIR485
RPS18					RPS18
BTLA					BTLA
SEC24C					SEC24C
VPS13C					VPS13C
EXOSC10					EXOSC10
MTHFD1					MTHFD1
ANXA11					ANXA11
TICAM1					TICAM1
HPS1					HPS1
ARID3A					ARID3A
EPAS1					EPAS1
RUNX3					RUNX3
MIR373					MIR373
HOXD13					HOXD13
RPL35A					RPL35A
ABCF1					ABCF1
IL10RB					IL10RB
SRF					SRF
KRT10					KRT10
FLOT1					FLOT1
P2RY2					P2RY2
PRR12					PRR12
WFDC2					WFDC2
TMPO					TMPO
PCBD1					PCBD1
ICA1					ICA1
ABCA7					ABCA7
SLPI					SLPI
MNDA					MNDA
FAH					FAH
C1QBP					C1QBP
TNFRSF12A					TNFRSF12A
TNC					TNC
RPS24					RPS24
SF3B2					SF3B2
APLN					APLN
EPHA3					EPHA3
ARMC9					ARMC9
PUF60					PUF60
SCUBE3					SCUBE3
KRT7					KRT7
MUCL3					MUCL3
UMOD					UMOD
IFI44L					IFI44L
MIR135A1					MIR135A1
FUT2					FUT2
HSPA2					HSPA2
PTPN13					PTPN13
FABP4					FABP4
KIR3DS1					KIR3DS1
DNAJC21					DNAJC21
PPP2R2B					PPP2R2B
TREH					TREH
PBX2					PBX2
DEFB1					DEFB1
SERPINH1					SERPINH1
PLD2					PLD2
CCND3					CCND3
SKP1					SKP1
HIRA					HIRA
EPOR					EPOR
PROKR2					PROKR2
MIR34B					MIR34B
CGB5					CGB5
CLEC6A					CLEC6A
RBMX					RBMX
MCHR1					MCHR1
CD74					CD74
YY1					YY1
LRBA					LRBA
INPP5D					INPP5D
MDK					MDK
PATZ1					PATZ1
RPS6KB1					RPS6KB1
LCP2					LCP2
BECN1					BECN1
CLIP2					CLIP2
CCNB1					CCNB1
PHB1					PHB1
CFAP410					CFAP410
SAG					SAG
BCL7B					BCL7B
H2BC21					H2BC21
SAMD9L					SAMD9L
FUT5					FUT5
KIR2DL4					KIR2DL4
AFF4					AFF4
PER2					PER2
IFNL1					IFNL1
CCL19					CCL19
CENPJ					CENPJ
ANKS1A					ANKS1A
FKBP4					FKBP4
KL					KL
NELFE					NELFE
ALDH5A1					ALDH5A1
FAM199X					FAM199X
MADCAM1					MADCAM1
PCCA					PCCA
SERPINB1					SERPINB1
GTF2IRD2					GTF2IRD2
KLRD1					KLRD1
HCG27					HCG27
S1PR1					S1PR1
C7					C7
MMP12					MMP12
MLANA					MLANA
TAC3					TAC3
VPS52					VPS52
RSPH4A					RSPH4A
SMS					SMS
CCDC40					CCDC40
IL31					IL31
MUS81					MUS81
CHIT1					CHIT1
ATF6B					ATF6B
MS4A2					MS4A2
ACTG2					ACTG2
SRD5A2					SRD5A2
TRAP1					TRAP1
GADD45A					GADD45A
HRH1					HRH1
C4BPB					C4BPB
TCF7					TCF7
VDAC1					VDAC1
LIPA					LIPA
MIR374A					MIR374A
ORM1					ORM1
SLC8A1					SLC8A1
MYB					MYB
DOCK2					DOCK2
COL6A1					COL6A1
ZC3H12D					ZC3H12D
STK19					STK19
PRKCQ					PRKCQ
TRH					TRH
DLAT					DLAT
DOK7					DOK7
RSPH3					RSPH3
C5AR2					C5AR2
OLR1					OLR1
PHF1					PHF1
CCHCR1					CCHCR1
CUBN					CUBN
APRT					APRT
S100A12					S100A12
TNK2					TNK2
KLF6					KLF6
APOA1-AS					APOA1-AS
TAT					TAT
HESX1					HESX1
GDF15					GDF15
NDN					NDN
SNRPC					SNRPC
CHRM1					CHRM1
IFIT2					IFIT2
DUSP1					DUSP1
SHOX					SHOX
ERVW-1					ERVW-1
ANOS1					ANOS1
CSNK2A2					CSNK2A2
PHLDB1					PHLDB1
SPRED2					SPRED2
GPI					GPI
HIVEP3					HIVEP3
TRIM26					TRIM26
SLX1A-SULT1A3					SLX1A-SULT1A3
ATP6AP1					ATP6AP1
NECTIN2					NECTIN2
KAT5					KAT5
EIF5A					EIF5A
FKBP5					FKBP5
PIM1					PIM1
RNASE3					RNASE3
MIR92A2					MIR92A2
APOM					APOM
SLC39A7					SLC39A7
IGFBP4					IGFBP4
B3GALT4					B3GALT4
SIGIRR					SIGIRR
STAB2					STAB2
VANGL2					VANGL2
NAA25					NAA25
SMAD9					SMAD9
ALOX5AP					ALOX5AP
PPT2					PPT2
UBASH3A					UBASH3A
GTF2H4					GTF2H4
MIR758					MIR758
LPO					LPO
INHA					INHA
TFAM					TFAM
NHEJ1					NHEJ1
CASC8					CASC8
TRIM31					TRIM31
CASC19					CASC19
TOLLIP					TOLLIP
BCL2A1					BCL2A1
CDH5					CDH5
KCP					KCP
FURIN					FURIN
MIR212					MIR212
PNOC					PNOC
IRF9					IRF9
RPLP2					RPLP2
RN7SL1					RN7SL1
IL17RD					IL17RD
CALB2					CALB2
PIK3C3					PIK3C3
COLEC10					COLEC10
CEBPA					CEBPA
PGK1					PGK1
NCK2					NCK2
SNRPD2					SNRPD2
CTDP1					CTDP1
PPP1R18					PPP1R18
EIF2S1					EIF2S1
LAIR1					LAIR1
HIC2					HIC2
ZFAS1					ZFAS1
RNF5					RNF5
LILRB1					LILRB1
CD83					CD83
ACKR3					ACKR3
IL32					IL32
AGPAT1					AGPAT1
CHD4					CHD4
CHRM2					CHRM2
UBD					UBD
G3BP1					G3BP1
ERN1					ERN1
IFNLR1					IFNLR1
CD58					CD58
CLEC12A					CLEC12A
KYNU					KYNU
SLC26A1					SLC26A1
HRES1					HRES1
F13B					F13B
DCTN4					DCTN4
MPDZ					MPDZ
