Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
CCL2		SERF1B			CCL2
TRIM21		BEX1			TRIM21
C1S		TAGLN3			C1S
CCR6		CNTN3			CCR6
IL2		JRKL			IL2
TLR9		GLDN			TLR9
TGFB1		COL11A2			TGFB1
IL1B		HOXA1			IL1B
F2		ZEB2			F2
MIF		APOOL			MIF
TNFSF13B		LEP			TNFSF13B
IFNA1		FGF11			IFNA1
IL17A		NDN			IL17A
TNFRSF1B		MOBP			TNFRSF1B
AGTR1		IL1A			AGTR1
IL4		NINJ1			IL4
CFH		MPPED2			CFH
HLA-DQA1		MATN3			HLA-DQA1
PTEN		ADRB3			PTEN
SSB		CNTN6			SSB
TLR4		NINJ2			TLR4
PRL		SOX8			PRL
IL18		NBEA			IL18
FOXP3		COL1A1			FOXP3
MIR155		SLIT3			MIR155
NOS3		DOK4			NOS3
VEGFA		ACD			VEGFA
SYK		ORM1			SYK
MIR125A		EVC			MIR125A
TRAF3IP2		VCX3A			TRAF3IP2
CXCL8		CHST3			CXCL8
IL2RA		PNMA1			IL2RA
CCR5		METRN			CCR5
ALB		CLEC3B			ALB
TLR2		FEZ2			TLR2
MIR21		HOXD1			MIR21
MASP2		CYB5D2			MASP2
STAT1		BRINP2			STAT1
BCL2		TBCB			BCL2
NCF1		BRINP3			NCF1
ICAM1		ADRA1B			ICAM1
STAT3		HPCAL4			STAT3
SERPINE1		VDR			SERPINE1
HMGB1		ENG			HMGB1
DNMT1		SCN8A			DNMT1
F3		EDNRB			F3
CD40		EDN2			CD40
GAS5		MAB21L2			GAS5
EGFR		ANKRD11			EGFR
AKT1		LECT2			AKT1
B2M		NPTX1			B2M
MPO		KIAA1217			MPO
TNFRSF1A		CBLN1			TNFRSF1A
INS		SPP2			INS
C5		NGRN			C5
CAT		NRBP2			CAT
CALR		PDGFRB			CALR
MIR146A		ETS2			MIR146A
CD4		FABP7			CD4
CD55		COL10A1			CD55
IL1RN		LHX1			IL1RN
CCL5		COL9A2			CCL5
RASGRP1		NRSN1			RASGRP1
MMP9		PCDHB12			MMP9
HLA-DPB1		PCDHB15			HLA-DPB1
ADAR		RBM45			ADAR
HAVCR2		HOXA5			HAVCR2
THBD		BZW2			THBD
CFI		CHMP6			CFI
FCN3		AVEN			FCN3
NOD2		EDN1			NOD2
SERPINC1		EDN3			SERPINC1
PPARG		NHLH1			PPARG
NLRP3		JAG2			NLRP3
CYP2C19		NAGLU			CYP2C19
IL21		STAT1			IL21
STING1		NEUROD6			STING1
TNFRSF13C		SEMA3D			TNFRSF13C
SNRNP70		SEMA6B			SNRNP70
PTPRC		LY6H			PTPRC
HLA-A		SEMA5B			HLA-A
LTA		SNTG2			LTA
VWF		LGI4			VWF
SELE		NTNG2			SELE
CD46		MAL2			CD46
TYK2		HOXA6			TYK2
BTNL2		HOXD4			BTNL2
NR3C1		AMBRA1			NR3C1
TMX2-CTNND1		SNX18			TMX2-CTNND1
IL1A		FTO			IL1A
EDN1		LRCH4			EDN1
CXCL10		ATOH8			CXCL10
MMP2		ADORA2A			MMP2
MTOR		SEMA4G			MTOR
CD247		TAPT1			CD247
RNASEH2B		INSC			RNASEH2B
TLR3		EPHB2			TLR3
TRAF3IP2-AS1		ARID5B			TRAF3IP2-AS1
RNASEH2C		AVP			RNASEH2C
MX1		BMPR2			MX1
CD274		MIF			CD274
MYD88		NF1			MYD88
RO60		NOX1			RO60
IL13		MAP1LC3B2			IL13
RIGI		ARSE			RIGI
S100A9		CDC42EP3			S100A9
FCRL3		ESS2			FCRL3
VCAM1		ZIC5			VCAM1
PRTN3		PARD3B			PRTN3
MIR145		PCDHA8			MIR145
CD28		PCDHA2			CD28
CD44		ATXN10			CD44
IL12B		NCKAP1			IL12B
CD27		ASPSCR1			CD27
IRF7		CPNE6			IRF7
TNFSF13		PCDHA3			TNFSF13
MIR221		PCDHAC1			MIR221
CD80		SEMA4B			CD80
NOTCH1		HOXB7			NOTCH1
ADIPOQ		AVIL			ADIPOQ
IRF3		PCDHAC2			IRF3
CXCL12		OLFM1			CXCL12
CFB		NEUROD2			CFB
