lhs	rhs	support	confidence	coverage	lift	count
40	{Asiatic Cornelian Cherry Fruit,Dioscorea Rhizome,Moutan Root Bark,Oriental Waterplantain Rhizome} 	 {Poria}	0.145631067961165	1	0.145631067961165	3.96153846153846	15
41	{Asiatic Cornelian Cherry Fruit,Moutan Root Bark,Oriental Waterplantain Rhizome,Poria} 	 {Dioscorea Rhizome}	0.145631067961165	0.882352941176471	0.16504854368932	3.49547511312217	15
42	{Dioscorea Rhizome,Moutan Root Bark,Oriental Waterplantain Rhizome,Poria} 	 {Asiatic Cornelian Cherry Fruit}	0.145631067961165	0.9375	0.155339805825243	4.0234375	15
43	{Asiatic Cornelian Cherry Fruit,Dioscorea Rhizome,Moutan Root Bark,Poria} 	 {Oriental Waterplantain Rhizome}	0.145631067961165	1	0.145631067961165	4.47826086956522	15
44	{Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Dioscorea Rhizome}	0.12621359223301	0.866666666666667	0.145631067961165	3.43333333333333	13
45	{Dioscorea Rhizome,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.12621359223301	0.8125	0.155339805825243	3.63858695652174	13
46	{Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Poria}	0.12621359223301	0.866666666666667	0.145631067961165	3.43333333333333	13
47	{Poria,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.12621359223301	0.928571428571429	0.135922330097087	4.1583850931677	13
48	{Moutan Root Bark,Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Dioscorea Rhizome}	0.12621359223301	0.866666666666667	0.145631067961165	3.43333333333333	13
49	{Dioscorea Rhizome,Moutan Root Bark,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.12621359223301	0.866666666666667	0.145631067961165	3.88115942028986	13
50	{Moutan Root Bark,Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Poria}	0.12621359223301	0.866666666666667	0.145631067961165	3.43333333333333	13
51	{Moutan Root Bark,Poria,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.12621359223301	1	0.12621359223301	4.47826086956522	13
52	{Eclipta Herb,Moutan Root Bark} 	 {Glossy Privet Fruit}	0.116504854368932	0.923076923076923	0.12621359223301	3.52136752136752	12
53	{Glossy Privet Fruit,Moutan Root Bark} 	 {Eclipta Herb}	0.116504854368932	0.8	0.145631067961165	3.92380952380952	12
