"Betweenness","Closeness","Degree","Eigenvector","Information","LAC","name","Network","selected","shared name","Subgragh"
"733.0181693170047","0.347114556416882","4.0","0.011048993095755577","2.660248279571533","1.5","ABCB1","2.0","false","ABCB1","2.912048384E9"
"3814.10001545788","0.4305555555555556","51.0","0.10709196329116821","5.101251602172852","11.058823529411764","EP300","27.377652053393202","false","EP300","2.7356831744E11"
"13040.313589853069","0.4563986409966025","69.0","0.13077020645141602","5.2325921058654785","9.826086956521738","TP53","36.59940178873997","false","TP53","4.07914119168E11"
"1032.9066989388052","0.2822128851540616","17.0","0.0011410001898184419","4.3070855140686035","4.705882352941177","CYP3A4","9.792538017538018","false","CYP3A4","3.1057318E7"
"2186.1853498140586","0.4154639175257732","38.0","0.10117826610803604","4.940492630004883","7.157894736842105","MAPK8","12.772920805795636","false","MAPK8","2.44187840512E11"
"2.411255411255411","0.251875","2.0","7.803140906617045E-4","1.9662657976150513","0.0","ACE","0.0","false","ACE","1.4524266E7"
"586.6441939884412","0.3234349919743178","11.0","0.014757538214325905","3.848881721496582","6.0","AGTR2","7.375","false","AGTR2","5.194932736E9"
"459.94046256841216","0.31484375","5.0","0.009291942231357098","2.917694091796875","0.4","AGTR1","0.5","false","AGTR1","2.059506944E9"
"0.0","0.27850725639253626","1.0","0.002235263120383024","1.4827557802200317","0.0","ACKR3","0.0","false","ACKR3","1.19181536E8"
"3442.77922359094","0.38564593301435407","29.0","0.06887723505496979","4.760470390319824","7.172413793103448","CXCR4","12.176710165840602","false","CXCR4","1.13162256384E11"
"0.0","0.26495726495726496","1.0","0.0016296572284772992","1.4827557802200317","0.0","ACP1","0.0","false","ACP1","6.334994E7"
"841.5338337369609","0.36014298480786416","13.0","0.05022316798567772","4.032747268676758","7.6923076923076925","EPHA2","8.527777777777777","false","EPHA2","6.0167090176E10"
"0.0","0.2679521276595745","2.0","9.727685828693211E-4","1.9662657976150513","1.0","ACVRL1","2.0","false","ACVRL1","2.2572054E7"
"210.96345161996496","0.3218849840255591","7.0","0.00839829258620739","3.3192126750946045","2.5714285714285716","TGFBR2","3.833333333333333","false","TGFBR2","1.682414976E9"
"834.2794574319728","0.3653671804170444","10.0","0.02155464142560959","3.7403573989868164","2.4","TGFBR1","3.888888888888889","false","TGFBR1","1.1082343424E10"
"1199.773477182227","0.27471029311520107","4.0","4.0667952271178365E-4","2.660248279571533","0.5","ADA","0.6666666666666666","false","ADA","3945103.5"
"4115.251880399518","0.29373177842565595","9.0","0.0012509285006672144","3.6179468631744385","0.4444444444444444","DCK","1.6190476190476188","false","DCK","3.7327008E7"
"2388.9233870122284","0.3569530558015943","8.0","0.009585523046553135","3.4787912368774414","0.75","DPP4","1.2142857142857142","false","DPP4","2.19170048E9"
"2711.5725877271993","0.28601845280340665","8.0","0.0016716476529836655","3.4787912368774414","1.5","PNP","4.404761904761904","false","PNP","6.6658836E7"
"0.0","0.21562332798287853","1.0","1.3213139027357101E-5","1.4827557802200317","0.0","ADORA1","0.0","false","ADORA1","4166.3671875"
"198.38157850608127","0.30576631259484066","4.0","0.004966355860233307","2.660248279571533","1.0","ADAM10","2.0","false","ADAM10","5.88336128E8"
"0.0","0.2504661280298322","2.0","6.501599564217031E-4","1.9662657976150513","1.0","BACE1","2.0","false","BACE1","1.0083013E7"
"866.5011329894771","0.3333333333333333","12.0","0.015059742145240307","3.9457528591156006","1.8333333333333333","PSEN1","4.090909090909091","false","PSEN1","5.409842176E9"
"9800.602487814562","0.4310160427807487","54.0","0.10322778671979904","5.128550052642822","6.666666666666667","CTNNB1","16.893094245227644","false","CTNNB1","2.54181228544E11"
"171.06665530329076","0.33752093802345057","10.0","0.034021057188510895","3.7403573989868164","5.6","EPHA3","6.222222222222222","false","EPHA3","2.7608743936E10"
"145.48903427902317","0.346815834767642","9.0","0.022939154878258705","3.6179468631744385","1.7777777777777777","ADAM17","2.0","false","ADAM17","1.255175168E10"
"766.7641633124114","0.36904761904761907","18.0","0.030444221571087837","4.361743927001953","3.0","NGFR","4.763789152024445","false","NGFR","2.2108504064E10"
"4815.618995418865","0.4310160427807487","49.0","0.14020676910877228","5.081405162811279","11.959183673469388","MAPK14","22.43591350236675","false","MAPK14","4.68907851776E11"
"2383.52410104568","0.40059642147117297","24.0","0.0785205289721489","4.6147379875183105","8.583333333333334","ERBB2","10.035403726708077","false","ERBB2","1.47067305984E11"
"5288.243188348438","0.43661971830985913","54.0","0.15612971782684326","5.128550052642822","13.333333333333334","EGFR","25.798217006170876","false","EGFR","5.81461344256E11"
"182.78552569360005","0.3124031007751938","6.0","0.00609970185905695","3.1343536376953125","1.0","SHH","1.25","false","SHH","8.8749728E8"
"598.0163145788033","0.3852772466539197","26.0","0.08032456040382385","4.678389072418213","7.3076923076923075","PRKCB","8.61294117647059","false","PRKCB","1.53902710784E11"
"1238.1719624729144","0.40543259557344064","29.0","0.07516765594482422","4.760470390319824","6.206896551724138","PRKCA","8.464998563527976","false","PRKCA","1.34775693312E11"
"596.9612650241738","0.388996138996139","22.0","0.0715259462594986","4.542192459106445","7.7272727272727275","ERBB4","9.332680185311766","false","ERBB4","1.22032898048E11"
"1990.252479611048","0.3882466281310212","31.0","0.06818582117557526","4.807915210723877","8.258064516129032","TNF","12.381347921084766","false","TNF","1.10901878784E11"
"49.145192881832635","0.2980769230769231","9.0","0.006570217199623585","3.6179468631744385","6.222222222222222","ADRA1B","7.25","false","ADRA1B","1.029701504E9"
