pre,herb1,herb2,herb3,herb4,herb5,herb6,herb7,herb8,herb9,herb10,herb11,herb12,herb13,herb14,herb15,herb16,herb17,herb18,herb19,herb20,herb21,herb22,herb23,herb24,herb25,herb26,herb27
pre86,Baical Skullcap Root,Chinese Date,Chinese Thorowax Root,Codonopsis Root,Dried Ginger Rhizome,Licorice Root,Oriental Waterplantain Rhizome,Pinellia Tuber,Poria,Saposhnikovia Root,Schizonepeta Herb,Szechwan Lovage Rhizome,Tangkuei,White Atractylodes Rhizome,White Peony Root,,,,,,,,,,,,
pre87,Bamboo Leaves,Dwarf Lilyturf Tuber,Ginseng,Gypsum,Heat-Processed Licorice Root with Honey,Pinellia Tuber,Polished Round-Grained Rice,,,,,,,,,,,,,,,,,,,,
pre88,Anemarrhena Rhizome,Danshen Root,Dioscorea Rhizome,Fleece-Flower Caulis,Licorice Root,Lycium Root Bark,Magnolia Bark,Moutan Root Bark,Oriental Waterplantain Rhizome,Peach Kernel,Phellodendron Bark,Polygala Root,Prepared Rehmannia Root,Rehmannia Root,Safflower,White Atractylodes Rhizome,,,,,,,,,,,
pre89,Anemarrhena Rhizome,Chinese Soft-Shelled Turtle Shell,Moutan Root Bark,Rehmannia Root,,,,,,,,,,,,,,,,,,,,,,,
pre90,Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Chinese Soft-Shelled Turtle Shell,Dioscorea Rhizome,Motherwort Herb,Moutan Root Bark,Oriental Waterplantain Rhizome,Phellodendron Bark,Poria,Rehmannia Root,,,,,,,,,,,,,,,,,
pre91,Anemarrhena Rhizome,Arnebia Root,Baical Skullcap Root,Danshen Root,Eclipta Herb,Glossy Privet Fruit,Imperata Rhizome,Licorice Root,Lycium Root Bark,Phellodendron Bark,Red Peony Root,Rehmannia Root,Round Cardamon Fruit,,,,,,,,,,,,,,
pre92,Astragalus Root,Bearded Scutellaria,Chinese Magnolia Vine Fruit,Danshen Root,Prepared Rehmannia Root,Rhubarb Root and Rhizome,Sweet Wormwood Herb,Szechwan Lovage Rhizome,Virgate Wormwood Herb,White Peony Root,,,,,,,,,,,,,,,,,
pre93,Forsythia Fruit,Heydyotis,Japanese Honeysuckle Flower,Ophiopogon Tuber,Rehmannia Root,Water Buffalo Horn,,,,,,,,,,,,,,,,,,,,,
pre94,Asparagus Tuber,Codonopsis Root,Danshen Root,Figwort Root,Ophiopogon Tuber,,,,,,,,,,,,,,,,,,,,,,
pre95,Lycium Root Bark,Picrorhiza Rhizome,Prepared Rehmannia Root,Rehmannia Root,Tokyo Violet Herb,,,,,,,,,,,,,,,,,,,,,,
pre96,Asiatic Cornelian Cherry Fruit,Cinnamon Bark,Dioscorea Rhizome,Poria Cum Ligno Hospite,Prepared Rehmannia Root,Spine Date Seed,Tangkuei,Tortoise Carapace And Plastron,,,,,,,,,,,,,,,,,,,
pre97,Anemarrhena Rhizome,Chinese Soft-Shelled Turtle Shell,Eclipta Herb,Licorice Root,Lycium Root Bark,Moutan Root Bark,Oriental Waterplantain Rhizome,Phellodendron Bark,Poria,Rehmannia Root,,,,,,,,,,,,,,,,,
pre98,Asiatic Cornelian Cherry Fruit,Licorice Root,Moutan Root Bark,Oriental Waterplantain Rhizome,Poria,Rehmannia Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,,,,,
pre99,Adenophora Stricta,Astragalus Root,Codonopsis Root,Curcuma Tuber,Figwort Root,Licorice Root,Lotus Plumule,Moutan Root Bark,Red Peony Root,Rehmannia Root,Safflower,Szechwan Lovage Rhizome,Tangkuei,,,,,,,,,,,,,,
pre100,Astragalus Root,Bearded Scutellaria,Chinese Soft-Shelled Turtle Shell,Cimicifuga,Dendrobium,Eclipta Herb,Glossy Privet Fruit,Heat-Processed Licorice Root with Honey,Heydyotis,Large-Leaf Gentian Root,Ophiopogon Tuber,Paris Rhizome,Pseudostellaria Root,Rehmannia Root,Tangkuei,Tortoise Carapace And Plastron,,,,,,,,,,,
pre101,Asiatic Cornelian Cherry Fruit,Chinese Soft-Shelled Turtle Shell,Cimicifuga,Dioscorea Rhizome,Eclipta Herb,Glossy Privet Fruit,Heat-Processed Licorice Root with Honey,Moutan Root Bark,Oriental Waterplantain Rhizome,Poria,Prepared Rehmannia Root,Rehmannia Root,Tangkuei,Tortoise Carapace And Plastron,,,,,,,,,,,,,
pre102,Cassia Twig,Chinaroot Greenbrier,Chinese Clematis Root,Chinese Taxillus Herb,Cyathula Root,Large-Leaf Gentian Root,Manchurian Wildginger Root,Nippon Yam Rhizome,Prepared Aconite Accessory Root,Prepared Rehmannia Root,Pubescent Angelica Root,Tangkuei,White Peony Root,,,,,,,,,,,,,,
pre103,Lycium Root Bark,Picrorhiza Rhizome,Prepared Rehmannia Root,Rehmannia Root,Stellaria Root,Tokyo Violet Herb,,,,,,,,,,,,,,,,,,,,,
