id	GSM1199386	GSM1199469	GSM1199464	GSM1199437	GSM1199526	GSM1199450	GSM1199384	GSM1199492	GSM1199529	GSM1199418	GSM1199531	GSM1199524	GSM1199440	GSM1199381	GSM1199468	GSM1199415	GSM1199473	GSM1199431	GSM1199439	GSM1199490	GSM1199504	GSM1199537	GSM1199480	GSM1199403	GSM1199482	GSM1199462	GSM1199494	GSM1199458	GSM1199479	GSM1199427	GSM1199433	GSM1199353	GSM1199502	GSM1199434	GSM1199404	GSM1199487	GSM1199538	GSM1199409	GSM1199506	GSM1199412	GSM1199425	GSM1199445	GSM1199441	GSM1199507	GSM1199533	GSM1199401	GSM1199532	GSM1199364	GSM1199512	GSM1199514	GSM1199484	GSM1199414
CXXC5	8.54129058027589	8.55555284175047	7.92473320468522	8.35737096247015	8.54330767534887	8.80234093245574	8.30038418507486	7.838321352629	7.60969218337241	8.37130837088503	8.36937667734934	8.47387878963578	8.85799245535499	8.43584054154284	8.77874967901977	9.07230003377637	8.39824002098663	8.35831349684181	8.74311205305235	8.25184222134699	7.60035695210311	7.81259645958569	6.40824524501883	7.62216687376836	8.55341704881638	8.00160080606761	9.01494582196328	8.56129653865254	8.10082335456535	7.71217503848917	7.43415844965019	7.1919224577693	7.30704746436205	7.37469465897458	7.51594962167232	8.46640691678249	8.65614937662053	8.12694616415179	7.39782444661864	7.32325345287194	8.07678337342288	7.33544755719586	7.88058277691667	7.76251772013324	7.68587317058286	8.52782540567467	7.57754678877166	7.36029396555838	8.37725789866761	7.49193432357919	8.02694602705885	8.4728839860532
SGSM2	8.70371250335405	9.12789297672505	9.7702169385838	9.83297477919115	9.00902604311347	8.93095916972599	9.42177267529755	9.24147539662853	9.20350300130217	9.1211642854548	9.26448505182203	8.97106476695621	9.09777808469586	9.50653684938701	9.34521380299623	8.34460188169633	9.34175021753484	9.93374430617138	9.60876262121798	9.25049798615207	8.86053405064595	8.30038418507486	8.73670882617985	9.11945715661911	9.54354544633239	8.61892851715066	8.96127734185028	8.75056321822646	8.40922164104896	7.9954310432146	8.48560556259303	8.88385636040584	8.41536251199058	8.26225734866836	8.35434854557232	8.84079529632109	8.72819935433428	9.42936145078672	8.27661991100847	8.67485421580556	8.44189133760876	8.59683001033908	8.75827379577119	8.60034079993644	8.94984712652166	8.02083055508569	8.41242205125989	8.73801246320716	8.3602808265177	8.62359939572458	9.37897223637288	8.50261208405508
PPP1R13B	5.84856268752072	5.80984481651629	5.89018739993936	5.87894645045603	6.04241727454944	6.20591599370998	6.267488407679	5.58847801321972	5.36540370708107	5.85059727174331	5.31818884211422	5.86501618497712	5.81330630482194	5.51714575029444	5.58493120532646	5.61811664301591	5.19408769130443	5.62395786496412	6.12633795713945	6.02614881492053	4.83312737124112	4.66635286265876	5.17003096709426	5.22406697126527	5.35391206521281	5.08395413108371	5.51539291567957	5.57731496461365	5.65659499587735	5.2708528278161	5.01284294735433	5.33119635250254	4.56878211333427	5.30221165512006	5.35052182515443	5.38848554314677	5.68305304109228	5.71473081836262	4.71140131674444	5.39390287027938	5.58974484424492	4.92830388551168	5.49746214857136	5.1954738869484	5.13520834500893	4.53751107098663	4.25493238991431	4.97336821246177	5.32848045864444	4.65347576989652	5.87450914333202	4.90030530302919
AUTS2	8.09205370257156	6.87890988518503	7.34839422569256	7.19314595232863	7.5730758791742	7.11470873168597	7.44031038744068	6.5223082260838	6.9781316315951	7.85615240588249	6.83441268020819	7.27237862435659	7.95475904208559	7.8522331712081	7.02136216118409	6.85315713972787	6.91939108154143	7.81014207984416	7.37069069705631	7.15876222127213	7.16272324566572	6.63247475933465	6.19577990734322	7.26656367014623	6.19899260633192	6.3628011684967	7.24013960316676	6.61258547564595	6.38305018446751	6.91128997457109	7.71821067062712	6.69915418743362	6.04969023048446	6.76839870621281	6.48133462761186	7.74534893722034	6.76999940034247	6.86372773202081	6.08047498125231	6.24343067278249	7.26402823330838	6.06496470306102	7.43019126681751	7.34189291257721	6.39173500759388	6.19253164862138	6.5533632188291	5.86300352980951	6.98854729733239	6.60876040516478	6.57651490317137	6.96211525350114
COBLL1	5.99132341936846	6.83857726237806	6.81374781335782	6.88476567866525	6.32822949324529	6.69566152796139	6.74536579470622	5.90960302193427	5.6412592198451	7.22033987145198	6.70991297954275	6.73881928089548	7.28639319816573	6.43338288537429	6.78405545762618	6.75748903957015	6.40781466353851	6.86106883119492	6.16241529901177	6.05041459922759	5.81566278822335	5.76708950490443	5.87861022987335	6.20306387455706	5.92483733790857	5.62100112625951	6.98909808255763	6.340015433108	6.38479959256686	5.65475520762015	5.25530638928776	5.93608986198531	5.74992634075347	5.66125282721271	4.93109076639972	6.04669871445056	6.63397611082109	5.17484040063446	5.92450064628192	5.80780921940806	5.38726790187881	5.83342144198446	6.22821420467815	5.78910401126704	6.28874877257015	7.1480166445274	5.61327872038127	5.98010905709322	6.50756941987185	5.65563870655932	5.92560779858945	6.72255133586959
CD6	9.86631899566384	9.84768890193126	9.50271053256497	10.1783891211224	10.114471696403	10.3924156271855	9.9362907909435	9.61924213377401	9.00023067747439	10.0267037035066	8.8103499049758	9.81835576085311	9.60086742705885	10.0065486817006	9.56883812662994	9.93876927378154	9.51867300628437	9.48139242820245	9.8969557621629	10.0619876497024	8.52342783931139	7.73851135962787	8.4888576327533	9.33598047349153	9.00615850614407	9.06149542309793	9.38095067393879	9.55353561317514	9.71332250430508	9.21998864893785	9.16674998061299	9.2052226379887	9.20164368459322	9.7043977504887	8.95997332400847	9.7989363322646	9.48921775927119	9.26448505182203	8.7001349451629	9.67713070004426	9.93374430617138	8.85265906940207	9.86116811099002	9.80850510567608	9.2273433978032	8.82622327653343	7.9797330524548	8.81549323726554	9.35442734676412	7.83246966568437	9.7702169385838	9.49134971589077
JMJD7-PLA2G4B	7.79110088457203	8.20282335824106	9.23079125388606	9.15836749114783	7.79486517705367	7.89183972377985	7.95216316479755	8.91803298338446	9.06303364482062	7.87418617768785	8.79432559188559	7.97621433534209	7.76724317996375	8.07224143574058	8.24605363330414	7.99034393696026	8.2900304013677	8.68824428796083	9.03142848629096	8.02864493260104	8.12330708307863	7.64447312246139	8.35434854557232	7.8035538495904	8.80367328469934	7.11470873168597	7.95735537099397	7.46309017389595	7.53529581598729	7.2876066291775	7.78563194238475	8.17079371322081	7.56635823935028	7.23821777191667	7.35904554095527	7.74686886871281	7.45903907570621	8.64780433713465	7.01635592276676	7.38327176602025	7.40187620779049	7.47952336723823	7.83584878058333	7.40846493065207	8.18887425989642	7.51255939463889	7.36093230566855	7.63017058408804	7.24073179186864	8.43694985603719	8.33650773336347	7.84979377820857
LAMA5	5.80746208392015	6.18394518893324	6.366721559	6.52190443188653	5.53564927613682	5.76635335762232	5.38194466784407	5.44877990110593	6.01513344548785	5.8623109838451	5.85224100471431	5.68558677749802	5.63145813585913	5.59871462564602	5.90132571820009	5.63744583023597	6.50073292696648	6.50028325002147	5.9962190743484	5.65284743723588	5.25669204332853	5.42592435377363	4.91748831123296	4.9793940742936	5.63339547140791	5.67236625564002	6.10774570332392	5.34064192025932	5.36130359415687	5.30957586371648	4.33899297136177	5.23821966441186	4.88187641590678	5.27460116925282	4.88323460099812	5.38650688971102	5.25572581087637	4.91321551602288	5.17928144772335	4.71059701438465	4.9391850517419	4.72933514766303	4.83540985717967	5.16251378014981	5.40389093759901	6.21258972169557	5.53004455935344	5.67990622860669	5.29993658051805	4.73730789869661	5.07010105557919	6.17751138506309
CRIP2	4.85780722911205	6.5528725576629	5.61573924629143	6.82770043143748	6.32740745548588	5.75399013608653	5.43765357582015	5.95916744926676	5.27257694351544	5.83544597906147	6.03481381352156	6.53723498917655	5.99973993814482	5.57278115369557	6.42289423374087	6.57040954422505	6.30561971060311	5.24587710238418	4.32899026862597	6.25273042581139	4.31531508243974	3.96043264246281	4.73895970682778	5.55875503737043	5.03734224318644	5.52428789921544	5.50026996865998	5.03208648849765	5.49774357901271	5.4010061715839	5.34064192025932	5.06063215033154	5.67673744403051	5.25224350218644	5.70729198202825	5.28076254634661	5.84094257634925	6.98085642581827	4.64093170224529	6.4719000725645	5.06102382939397	5.58578006766601	5.38522774456045	4.2646915254596	5.55212139374953	4.1742166816806	4.14372477462759	4.72573841070339	6.06650031572213	4.33479063543748	5.2741744817533	5.97056901316996
KLF13	10.5868430050706	10.0649928326125	9.90473309871092	9.9525476231629	10.0890734286412	10.1557869846761	10.1300847486629	9.87386199399435	9.96629993882768	9.86860301636064	9.6149765040565	9.60507880668173	9.94446279553296	10.1207709892043	9.66531211170527	9.67204980800377	9.57538107323917	9.64536022914218	9.78692824229096	10.0267037035066	9.0363263056064	8.84342218529284	8.87553475122166	9.96046606017891	9.16005775387947	9.66992156417043	9.71101070229096	9.35090371736441	9.60507880668173	9.59675334077966	9.22893177945669	9.62155716676648	9.21017566186299	9.54956725318173	9.43120144885546	9.48732302419868	9.21826830502825	9.46577712963088	9.04879949170621	9.31761813319586	9.31042255490961	8.96538056798682	9.26625713040207	8.88819068724105	9.18989609205838	8.39824002098663	8.7517962271403	9.12789297672505	8.99605622142844	8.92234313695386	9.4675362582999	9.48921775927119
